commit,parent1,parent2,ancestor,is pr,added lines,deleted lines,devs parent1,devs parent2,time,nr files,added files,deleted files,renamed files,copied files,modified files,nr commits1,nr commits2,density1,density2,fix,bug,feature,improve,document,refactor,update,add,remove,use,delete,change,messages_min,messages_max,messages_mean,messages_median,conflict,avg_density,avg_density_cat,added_lines_per_commit,deleted_lines_per_commit,files_per_commit,files_per_developer,messages_per_commit,commit_per_developer_on_branch1,commit_per_developer_on_branch2
9558,2460,11067,14109,1,1,1,10,1,36,1,0,0,0,0,1,36,1,31,1,6,0,0,0,3,0,3,1,4,1,0,0,76,213,105.66666666666666,101.5,0,16.0,3,0.02702702702702703,0.02702702702702703,0.02702702702702703,0.09090909090909091,2.8558558558558556,3.6,1.0
21310,284,17781,7210,1,1,0,2,1,2,1,0,0,0,0,1,4,1,0,0,2,0,0,0,0,0,1,1,0,0,0,0,27,44,35.5,35.5,0,0.0,,0.2,0.0,0.2,0.3333333333333333,7.1,2.0,1.0
22506,8693,5058,17705,1,3,0,4,1,49,1,0,0,0,0,1,27,1,9,1,4,0,0,0,0,0,0,3,0,6,0,0,71,125,98.55555555555556,102.0,0,5.0,2,0.10714285714285714,0.0,0.03571428571428571,0.2,3.5198412698412698,6.75,1.0
24646,22027,5670,11656,0,279,47,6,1,94,1,0,0,0,0,6,11,10,9,10,8,1,0,0,1,2,2,0,1,2,0,1,25,202,82.71818181818182,82.5,0,9.5,3,13.285714285714286,2.238095238095238,0.047619047619047616,0.14285714285714285,3.9389610389610388,1.8333333333333333,10.0
747,1454,11748,15186,1,3,3,5,1,5,2,0,0,0,0,2,17,2,0,0,1,0,3,0,0,0,0,2,1,2,0,0,75,230,137.55882352941177,128.5,0,0.0,,0.15789473684210525,0.15789473684210525,0.10526315789473684,0.3333333333333333,7.239938080495357,3.4,2.0
2944,4939,8975,372,0,0,0,2,1,64,1,0,0,0,0,0,7,1,0,0,0,2,0,0,0,0,1,0,0,0,0,0,33,83,47.57142857142857,40.0,0,0.0,,0.0,0.0,0.125,0.3333333333333333,5.946428571428571,3.5,1.0
1560,15820,24111,12273,1,1,0,8,2,9,1,0,0,0,0,1,21,2,0,0,0,0,0,0,0,0,2,12,0,0,0,0,30,88,56.45238095238095,56.5,0,0.0,,0.043478260869565216,0.0,0.043478260869565216,0.1,2.4544513457556936,2.625,1.0
23156,19417,1304,13225,1,1,1,18,1,1777,1,0,0,0,0,1,33,1,2,1,1,0,0,0,0,0,5,9,5,0,0,0,53,102,75.03030303030303,68.0,0,1.5,2,0.029411764705882353,0.029411764705882353,0.029411764705882353,0.05263157894736842,2.2067736185383247,1.8333333333333333,1.0
3879,1412,19700,849,1,2,1,1,1,4,1,0,0,0,0,1,12,6,0,0,1,0,0,0,0,0,1,9,1,2,0,0,42,97,70.25,70.0,0,0.0,,0.1111111111111111,0.05555555555555555,0.05555555555555555,0.5,3.9027777777777777,12.0,6.0
2874,21935,18428,4560,0,5600,3470,2,2,1114,1,25,9,11,0,14,3,37,0,15,8,6,0,11,4,2,1,8,0,2,0,4,21,162,74.77477477477477,66.0,0,7.5,3,140.0,86.75,0.025,0.25,1.8693693693693691,1.5,18.5
